Gene stable ID version,Transcript stable ID version,Strand,Exon region start (bp),Exon region end (bp),Chromosome/scaffold name
ENSG00000275993.4,ENST00000613488.3,+,6119024,6119240,21
ENSG00000275993.4,ENST00000613488.3,+,6119720,6120001,21
ENSG00000275993.4,ENST00000613488.3,+,6120487,6120718,21
ENSG00000275993.4,ENST00000613488.3,+,6121144,6123778,21
ENSG00000273590.6,ENST00000619874.5,+,7744951,7745038,21
ENSG00000273590.6,ENST00000619874.5,+,7748899,7748987,21
ENSG00000273590.6,ENST00000619874.5,+,7754952,7755118,21
ENSG00000273590.6,ENST00000619874.5,+,7758105,7758630,21
ENSG00000277277.4,ENST00000613894.4,-,7769588,7770548,21
ENSG00000278961.3,ENST00000624951.1,-,7793821,7793954,21
ENSG00000278961.3,ENST00000624951.1,-,7788703,7789618,21
ENSG00000276289.6,ENST00000618699.3,-,7829517,7829632,21
ENSG00000276289.6,ENST00000618699.3,-,7828642,7828724,21
ENSG00000276289.6,ENST00000618699.3,-,7816677,7819672,21
ENSG00000251972.1,ENST00000516163.1,-,25943044,25943145,21
ENSG00000206802.1,ENST00000384075.1,+,26190707,26190813,21
ENSG00000189169.8,ENST00000400365.3,+,44697172,44698044,21
ENSG00000223608.1,ENST00000417138.1,-,38010478,38010618,21
ENSG00000223608.1,ENST00000417138.1,-,38006544,38006826,21
ENSG00000280081.5,ENST00000623929.1,-,9810381,9810503,21
ENSG00000270533.3,ENST00000604687.1,-,9997487,9998033,21
ENSG00000213885.5,ENST00000425147.1,+,25361821,25362431,21
ENSG00000293050.1,ENST00000672784.1,+,25362085,25362981,21
ENSG00000293050.1,ENST00000672784.1,+,25366241,25366535,21
ENSG00000293050.1,ENST00000672784.1,+,25381508,25381756,21
ENSG00000235374.3,ENST00000415143.1,-,45071828,45072239,21
ENSG00000288593.1,ENST00000674444.1,+,43939919,43940331,21
ENSG00000288593.1,ENST00000674444.1,+,43959634,43959673,21
ENSG00000286224.1,ENST00000652508.1,+,46326288,46326491,21
ENSG00000289001.1,ENST00000692721.1,+,36070024,36070700,21
ENSG00000229047.1,ENST00000446301.1,+,14961309,14961721,21
ENSG00000229047.1,ENST00000446301.1,+,14964085,14964233,21
ENSG00000231201.1,ENST00000436429.1,+,14971470,14971569,21
ENSG00000231201.1,ENST00000436429.1,+,14974215,14974317,21
ENSG00000231201.1,ENST00000436429.1,+,14992234,14992854,21
ENSG00000280082.1,ENST00000623768.1,+,15346652,15346738,21
ENSG00000224524.1,ENST00000450823.1,-,15490530,15490767,21
ENSG00000212564.1,ENST00000391262.1,+,15614283,15614389,21
ENSG00000226298.1,ENST00000454157.1,-,15695885,15696581,21
ENSG00000226298.1,ENST00000454157.1,-,15694300,15694754,21
ENSG00000228677.1,ENST00000424733.1,-,37193808,37193926,21
ENSG00000228677.1,ENST00000424733.1,-,37187666,37188643,21
ENSG00000233754.2,ENST00000420273.2,-,42782151,42782229,21
ENSG00000233754.2,ENST00000420273.2,-,42781074,42781778,21
ENSG00000224421.1,ENST00000444161.1,-,36388878,36389112,21
ENSG00000279365.1,ENST00000624669.1,+,36485867,36487760,21
ENSG00000223741.1,ENST00000433951.1,-,36487292,36487411,21
ENSG00000223741.1,ENST00000433951.1,-,36485983,36486971,21
ENSG00000224269.1,ENST00000430607.1,-,36701297,36701564,21
ENSG00000224269.1,ENST00000430607.1,-,36698773,36698843,21
ENSG00000272991.1,ENST00000608767.1,+,39184469,39184899,21
ENSG00000293606.1,ENST00000715811.1,+,34073576,34073745,21
ENSG00000293606.1,ENST00000715811.1,+,34094863,34097283,21
ENSG00000293606.1,ENST00000715811.1,+,34125341,34125480,21
ENSG00000293606.1,ENST00000715811.1,+,34142408,34143030,21
ENSG00000198743.7,ENST00000381151.5,+,34073578,34073745,21
ENSG00000198743.7,ENST00000381151.5,+,34094863,34106260,21
ENSG00000224598.1,ENST00000415238.1,-,34135432,34136071,21
ENSG00000279213.1,ENST00000625014.1,-,8801362,8801880,21
ENSG00000280243.1,ENST00000624263.1,+,8845566,8846646,21
ENSG00000264462.1,ENST00000581792.1,+,8986999,8987178,21
ENSG00000264063.1,ENST00000577708.1,+,8987370,8987430,21
ENSG00000279501.1,ENST00000623236.1,-,9018548,9018670,21
ENSG00000279501.1,ENST00000623236.1,-,8996496,8996599,21
ENSG00000279414.1,ENST00000623182.1,-,9026821,9027329,21
ENSG00000188681.14,ENST00000559466.1,-,9073095,9073609,21
ENSG00000188681.14,ENST00000559466.1,-,9071609,9071682,21
ENSG00000188681.14,ENST00000559466.1,-,9071128,9071248,21
ENSG00000188681.14,ENST00000559466.1,-,9070214,9070444,21
ENSG00000188681.14,ENST00000559466.1,-,9069445,9069599,21
ENSG00000188681.14,ENST00000559466.1,-,9068414,9068629,21
ENSG00000279720.1,ENST00000624968.1,-,9082601,9083101,21
ENSG00000279381.1,ENST00000623217.1,+,9088188,9088391,21
ENSG00000224541.1,ENST00000455275.1,+,26158091,26158267,21
ENSG00000224541.1,ENST00000455275.1,+,26175610,26175824,21
ENSG00000286902.1,ENST00000660906.1,-,26320616,26320773,21
ENSG00000286902.1,ENST00000660906.1,-,26317390,26317924,21
ENSG00000229025.1,ENST00000435878.1,-,26350267,26350634,21
ENSG00000229025.1,ENST00000435878.1,-,26349780,26349927,21
ENSG00000273115.1,ENST00000608410.1,-,26459903,26460214,21
ENSG00000224100.1,ENST00000428410.1,-,42965103,42965363,21
ENSG00000224100.1,ENST00000428410.1,-,42964639,42964814,21
ENSG00000230212.7,ENST00000415147.1,-,36075531,36075602,21
ENSG00000230212.7,ENST00000415147.1,-,36074881,36074967,21
ENSG00000212932.3,ENST00000427757.1,+,46690764,46691226,21
ENSG00000293763.1,ENST00000718824.1,-,45590444,45590587,21
ENSG00000293763.1,ENST00000718824.1,-,45589964,45590214,21
ENSG00000293834.1,ENST00000719312.1,-,10381621,10381763,21
ENSG00000293834.1,ENST00000719312.1,-,10378551,10378596,21
ENSG00000293834.1,ENST00000719312.1,-,10371968,10372201,21
ENSG00000293952.1,ENST00000720069.1,-,26710533,26710598,21
ENSG00000293952.1,ENST00000720069.1,-,26710268,26710402,21
ENSG00000293952.1,ENST00000720069.1,-,26709930,26710144,21
ENSG00000278158.3,ENST00000619053.3,+,44241551,44242085,21
ENSG00000289404.3,ENST00000692770.3,-,38497742,38498268,21
ENSG00000294108.1,ENST00000721137.1,-,33078226,33078298,21
ENSG00000294108.1,ENST00000721137.1,-,33077830,33077922,21
ENSG00000294108.1,ENST00000721137.1,-,33077448,33077664,21
ENSG00000294417.1,ENST00000723465.1,-,33301815,33302114,21
ENSG00000294417.1,ENST00000723465.1,-,33298852,33298947,21
ENSG00000294417.1,ENST00000723465.1,-,33287913,33288252,21
ENSG00000294504.1,ENST00000723995.1,+,26437548,26437899,21
ENSG00000294504.1,ENST00000723995.1,+,26438275,26438347,21
ENSG00000294504.1,ENST00000723995.1,+,26441469,26441575,21
ENSG00000294544.1,ENST00000724318.1,+,24274298,24274416,21
ENSG00000294544.1,ENST00000724318.1,+,24278874,24279119,21
ENSG00000294544.1,ENST00000724318.1,+,24287702,24287835,21
ENSG00000294567.1,ENST00000724407.1,+,24249159,24249304,21
ENSG00000294567.1,ENST00000724407.1,+,24250480,24251483,21
ENSG00000223400.2,ENST00000418874.2,-,41581265,41581342,21
ENSG00000223400.2,ENST00000418874.2,-,41576135,41576425,21
ENSG00000294982.1,ENST00000727179.1,+,44153366,44153466,21
ENSG00000294982.1,ENST00000727179.1,+,44167794,44168499,21
ENSG00000295227.1,ENST00000728699.1,+,43079863,43079975,21
ENSG00000295227.1,ENST00000728699.1,+,43092322,43093181,21
ENSG00000295448.1,ENST00000730192.1,+,24122806,24123125,21
ENSG00000295448.1,ENST00000730192.1,+,24152640,24152961,21
ENSG00000295670.1,ENST00000731715.1,-,30725517,30725653,21
ENSG00000295670.1,ENST00000731715.1,-,30710609,30710705,21
ENSG00000295670.1,ENST00000731715.1,-,30706733,30707309,21
ENSG00000295673.1,ENST00000731718.1,+,9160575,9160739,21
ENSG00000295673.1,ENST00000731718.1,+,9171135,9171493,21
ENSG00000295784.1,ENST00000732707.1,+,43153882,43154014,21
ENSG00000295784.1,ENST00000732707.1,+,43154449,43154858,21
ENSG00000295834.1,ENST00000732926.1,+,44206886,44207198,21
ENSG00000295923.1,ENST00000733949.1,-,36130651,36130719,21
ENSG00000295923.1,ENST00000733949.1,-,36123082,36123180,21
ENSG00000295923.1,ENST00000733949.1,-,36121752,36122029,21
ENSG00000296063.1,ENST00000735996.1,-,42955690,42955803,21
ENSG00000296063.1,ENST00000735996.1,-,42955353,42955584,21
ENSG00000296085.1,ENST00000736256.1,-,41651939,41651976,21
ENSG00000296085.1,ENST00000736256.1,-,41642258,41642713,21
ENSG00000296104.1,ENST00000736448.1,-,17446735,17446810,21
ENSG00000296104.1,ENST00000736448.1,-,17425979,17426190,21
ENSG00000296104.1,ENST00000736448.1,-,17419113,17419376,21
ENSG00000296141.1,ENST00000736702.1,+,17436970,17437173,21
ENSG00000296141.1,ENST00000736702.1,+,17437376,17437941,21
ENSG00000296512.1,ENST00000740056.1,-,9767215,9767339,21
ENSG00000296512.1,ENST00000740056.1,-,9766965,9767085,21
ENSG00000296512.1,ENST00000740056.1,-,9764229,9764420,21
ENSG00000296786.1,ENST00000741984.1,+,25174046,25174077,21
ENSG00000296786.1,ENST00000741984.1,+,25175128,25175329,21
ENSG00000296786.1,ENST00000741984.1,+,25179723,25179873,21
ENSG00000296862.1,ENST00000743232.1,+,29561595,29561745,21
ENSG00000296862.1,ENST00000743232.1,+,29561833,29561908,21
ENSG00000296862.1,ENST00000743232.1,+,29577030,29577335,21
ENSG00000296878.1,ENST00000743288.1,-,27115028,27115158,21
ENSG00000296878.1,ENST00000743288.1,-,27111084,27111264,21
ENSG00000296878.1,ENST00000743288.1,-,27107701,27107989,21
ENSG00000296886.1,ENST00000743336.1,+,29434289,29434369,21
ENSG00000296886.1,ENST00000743336.1,+,29444254,29445259,21
ENSG00000296905.1,ENST00000743445.1,+,29459691,29459812,21
ENSG00000296905.1,ENST00000743445.1,+,29460250,29460577,21
ENSG00000297036.1,ENST00000744864.1,-,13205482,13205547,21
ENSG00000297036.1,ENST00000744864.1,-,13190742,13191059,21
ENSG00000256073.5,ENST00000534991.5,+,32393048,32394380,21
ENSG00000297102.1,ENST00000745509.1,+,34831038,34831355,21
ENSG00000297483.1,ENST00000748217.1,+,10362949,10363035,21
ENSG00000297483.1,ENST00000748217.1,+,10363476,10363634,21
ENSG00000297962.1,ENST00000752112.1,+,23953174,23953246,21
ENSG00000297962.1,ENST00000752112.1,+,23957618,23957862,21
ENSG00000297999.1,ENST00000752384.1,-,31566006,31566113,21
ENSG00000297999.1,ENST00000752384.1,-,31562466,31562556,21
ENSG00000297999.1,ENST00000752384.1,-,31560854,31561146,21
ENSG00000298022.1,ENST00000752532.1,+,31654926,31655489,21
ENSG00000298030.1,ENST00000752576.1,+,45551044,45551431,21
ENSG00000298042.1,ENST00000752684.1,+,31593205,31593316,21
ENSG00000298042.1,ENST00000752684.1,+,31593401,31593723,21
ENSG00000298244.1,ENST00000754075.1,-,41302983,41303097,21
ENSG00000298244.1,ENST00000754075.1,-,41302371,41302515,21
ENSG00000298244.1,ENST00000754075.1,-,41295031,41295094,21
ENSG00000298244.1,ENST00000754075.1,-,41293529,41293649,21
ENSG00000298244.1,ENST00000754075.1,-,41282480,41282616,21
ENSG00000298750.1,ENST00000757729.1,-,45329757,45330137,21
ENSG00000298750.1,ENST00000757729.1,-,45328846,45329386,21
ENSG00000298760.1,ENST00000757773.1,-,44133092,44133483,21
ENSG00000298760.1,ENST00000757773.1,-,44132184,44132549,21
ENSG00000288842.2,ENST00000686985.2,+,45319756,45320834,21
ENSG00000298843.1,ENST00000758376.1,-,33495079,33495198,21
ENSG00000298843.1,ENST00000758376.1,-,33491994,33492255,21
ENSG00000299096.1,ENST00000760438.1,-,7491702,7491848,21
ENSG00000299096.1,ENST00000760438.1,-,7480180,7480483,21
ENSG00000299188.1,ENST00000761476.1,-,45376651,45376830,21
ENSG00000299188.1,ENST00000761476.1,-,45371932,45372268,21
ENSG00000299259.1,ENST00000761993.1,+,5698176,5698251,21
ENSG00000299259.1,ENST00000761993.1,+,5698530,5698863,21
ENSG00000299426.1,ENST00000763427.1,-,19589572,19590228,21
ENSG00000299426.1,ENST00000763427.1,-,19576089,19576310,21
ENSG00000299538.1,ENST00000764465.1,-,22984293,22984482,21
ENSG00000299538.1,ENST00000764465.1,-,22966242,22966348,21
ENSG00000299538.1,ENST00000764465.1,-,22883419,22883994,21
ENSG00000299571.1,ENST00000764685.1,+,27420819,27420972,21
ENSG00000299571.1,ENST00000764685.1,+,27428456,27428554,21
ENSG00000231106.4,ENST00000457157.4,+,36005131,36005865,21
ENSG00000231106.4,ENST00000457157.4,+,36007319,36008300,21
ENSG00000300283.1,ENST00000770567.1,+,31732288,31732409,21
ENSG00000300283.1,ENST00000770567.1,+,31732546,31732874,21
ENSG00000274248.2,ENST00000621707.2,+,45972922,45973176,21
ENSG00000274248.2,ENST00000621707.2,+,45974094,45974956,21
ENSG00000289238.3,ENST00000687762.3,-,33324132,33324910,21
ENSG00000300761.1,ENST00000773892.1,-,27590340,27590455,21
ENSG00000300761.1,ENST00000773892.1,-,27585802,27586087,21
ENSG00000300782.1,ENST00000774008.1,-,27572454,27572804,21
ENSG00000300807.1,ENST00000774195.1,+,6140713,6140857,21
ENSG00000300807.1,ENST00000774195.1,+,6144757,6145730,21
ENSG00000300976.1,ENST00000775306.1,+,42779728,42779832,21
ENSG00000300976.1,ENST00000775306.1,+,42781093,42781210,21
ENSG00000300976.1,ENST00000775306.1,+,42781314,42781649,21
ENSG00000301185.1,ENST00000776876.1,+,38926024,38926079,21
ENSG00000301185.1,ENST00000776876.1,+,38931499,38931834,21
ENSG00000289445.3,ENST00000684917.3,+,38959409,38961224,21
ENSG00000301247.1,ENST00000777294.1,+,38907497,38907684,21
ENSG00000301247.1,ENST00000777294.1,+,38908265,38908453,21
ENSG00000301293.1,ENST00000777751.1,-,32951170,32951274,21
ENSG00000301293.1,ENST00000777751.1,-,32940656,32941812,21
ENSG00000301298.1,ENST00000777777.1,+,16902556,16902856,21
ENSG00000301298.1,ENST00000777777.1,+,16902984,16903160,21
ENSG00000301372.1,ENST00000778538.1,+,33035351,33035627,21
ENSG00000301372.1,ENST00000778538.1,+,33036450,33037078,21
ENSG00000301417.1,ENST00000778765.1,+,33029432,33029479,21
ENSG00000301417.1,ENST00000778765.1,+,33029711,33029958,21
ENSG00000301453.1,ENST00000778935.1,-,21844911,21844972,21
ENSG00000301453.1,ENST00000778935.1,-,21844602,21844626,21
ENSG00000301453.1,ENST00000778935.1,-,21831249,21831387,21
ENSG00000301453.1,ENST00000778935.1,-,21818059,21818325,21
ENSG00000301453.1,ENST00000778935.1,-,21816811,21817032,21
ENSG00000301596.1,ENST00000780127.1,-,8552103,8552231,21
ENSG00000301596.1,ENST00000780127.1,-,8550923,8551109,21
ENSG00000301596.1,ENST00000780127.1,-,8547298,8547399,21
ENSG00000301656.1,ENST00000780576.1,-,8388078,8388126,21
ENSG00000301656.1,ENST00000780576.1,-,8387292,8387633,21
ENSG00000301912.1,ENST00000782828.1,+,27616285,27616445,21
ENSG00000301912.1,ENST00000782828.1,+,27622762,27623018,21
ENSG00000301966.1,ENST00000783094.1,+,45551582,45551800,21
ENSG00000302055.1,ENST00000783631.1,+,18950305,18950460,21
ENSG00000302055.1,ENST00000783631.1,+,18959518,18960732,21
ENSG00000289857.2,ENST00000701122.2,+,44482985,44483400,21
ENSG00000302169.1,ENST00000784764.1,+,38971081,38971251,21
ENSG00000302169.1,ENST00000784764.1,+,38971556,38971613,21
ENSG00000302169.1,ENST00000784764.1,+,38979487,38979791,21
ENSG00000302473.1,ENST00000787150.1,+,18229344,18229394,21
ENSG00000302473.1,ENST00000787150.1,+,18229848,18230508,21
ENSG00000302477.1,ENST00000787247.1,-,44358024,44359008,21
ENSG00000302499.1,ENST00000787370.1,-,37046820,37046997,21
ENSG00000302499.1,ENST00000787370.1,-,37041822,37042067,21
ENSG00000302499.1,ENST00000787370.1,-,37039268,37039576,21
ENSG00000302687.1,ENST00000788881.1,-,24814764,24814809,21
ENSG00000302687.1,ENST00000788881.1,-,24811403,24811789,21
ENSG00000302728.1,ENST00000789243.1,+,37563992,37564776,21
ENSG00000302803.1,ENST00000789626.1,+,34645007,34645251,21
ENSG00000302803.1,ENST00000789626.1,+,34648351,34648493,21
ENSG00000302886.1,ENST00000790254.1,-,20403480,20403511,21
ENSG00000302886.1,ENST00000790254.1,-,20402802,20402896,21
ENSG00000302886.1,ENST00000790254.1,-,20387240,20387320,21
ENSG00000302886.1,ENST00000790254.1,-,20386532,20386603,21
ENSG00000302886.1,ENST00000790254.1,-,20385063,20385193,21
ENSG00000303066.1,ENST00000791547.1,+,38787836,38787949,21
ENSG00000303066.1,ENST00000791547.1,+,38788683,38788917,21
ENSG00000303483.1,ENST00000794918.1,+,15059638,15059678,21
ENSG00000303483.1,ENST00000794918.1,+,15063196,15063466,21
ENSG00000303927.1,ENST00000798095.1,-,34663861,34663902,21
ENSG00000303927.1,ENST00000798095.1,-,34658143,34658323,21
ENSG00000303927.1,ENST00000798095.1,-,34657352,34657462,21
ENSG00000303927.1,ENST00000798095.1,-,34654808,34655169,21
ENSG00000304016.1,ENST00000798885.1,-,22669499,22669586,21
ENSG00000304016.1,ENST00000798885.1,-,22647140,22647448,21
ENSG00000304035.1,ENST00000799032.1,-,26600678,26600840,21
ENSG00000304035.1,ENST00000799032.1,-,26598630,26598946,21
ENSG00000289224.2,ENST00000688872.2,-,45977537,45977951,21
ENSG00000289224.2,ENST00000688872.2,-,45975731,45976818,21
ENSG00000304160.1,ENST00000800203.1,+,45977345,45977381,21
ENSG00000304160.1,ENST00000800203.1,+,45978617,45978709,21
ENSG00000304160.1,ENST00000800203.1,+,45979207,45979411,21
ENSG00000304251.1,ENST00000801395.1,-,17658599,17658703,21
ENSG00000304251.1,ENST00000801395.1,-,17648149,17648887,21
ENSG00000304265.1,ENST00000801705.1,-,25372876,25372955,21
ENSG00000304265.1,ENST00000801705.1,-,25370029,25370883,21
ENSG00000304324.1,ENST00000802558.1,+,16795026,16795175,21
ENSG00000304324.1,ENST00000802558.1,+,16801927,16802836,21
ENSG00000304517.1,ENST00000804124.1,-,45554809,45555011,21
ENSG00000304522.1,ENST00000804166.1,+,26677961,26678270,21
ENSG00000304522.1,ENST00000804166.1,+,26678518,26678642,21
ENSG00000304522.1,ENST00000804166.1,+,26678866,26678976,21
ENSG00000304594.1,ENST00000804897.1,+,19494397,19494989,21
ENSG00000304596.1,ENST00000804900.1,-,45642078,45642180,21
ENSG00000304596.1,ENST00000804900.1,-,45640309,45641338,21
ENSG00000304622.1,ENST00000804998.1,+,45641087,45641390,21
ENSG00000274225.2,ENST00000617205.2,+,44475723,44475849,21
ENSG00000274225.2,ENST00000617205.2,+,44477229,44478493,21
ENSG00000304707.1,ENST00000805731.1,+,23807895,23808434,21
ENSG00000304707.1,ENST00000805731.1,+,23809819,23810116,21
ENSG00000279669.2,ENST00000623753.2,-,5243703,5243903,21
ENSG00000279669.2,ENST00000623753.2,-,5232668,5232924,21
ENSG00000304893.1,ENST00000806986.1,-,34175004,34175087,21
ENSG00000304893.1,ENST00000806986.1,-,34159940,34160294,21
ENSG00000304896.1,ENST00000807019.1,-,43178478,43178612,21
ENSG00000304896.1,ENST00000807019.1,-,43177030,43177272,21
ENSG00000305043.1,ENST00000808008.1,-,21806817,21806909,21
ENSG00000305043.1,ENST00000808008.1,-,21803019,21803358,21
ENSG00000305314.1,ENST00000810378.1,-,39030590,39030650,21
ENSG00000305314.1,ENST00000810378.1,-,39030026,39030488,21
ENSG00000223799.4,ENST00000411998.4,-,33266063,33266301,21
ENSG00000223799.4,ENST00000411998.4,-,33263873,33265902,21
ENSG00000305532.1,ENST00000811579.1,-,7626227,7626297,21
ENSG00000305532.1,ENST00000811579.1,-,7625602,7625948,21
ENSG00000305537.1,ENST00000811612.1,+,45634430,45634547,21
ENSG00000305537.1,ENST00000811612.1,+,45634829,45635344,21
ENSG00000305669.1,ENST00000812299.1,-,37282144,37282775,21
ENSG00000305669.1,ENST00000812299.1,-,37281621,37281937,21
ENSG00000305888.1,ENST00000813776.1,-,33977014,33977147,21
ENSG00000305888.1,ENST00000813776.1,-,33973939,33974550,21
ENSG00000305908.1,ENST00000813893.1,-,34018740,34019022,21
ENSG00000305908.1,ENST00000813893.1,-,34017441,34017568,21
ENSG00000305908.1,ENST00000813893.1,-,34016843,34017212,21
ENSG00000305941.1,ENST00000814270.1,+,45550260,45550553,21
ENSG00000306019.1,ENST00000814761.1,+,31160446,31160995,21
ENSG00000306019.1,ENST00000814761.1,+,31164785,31165300,21
ENSG00000306053.1,ENST00000814973.1,+,45440717,45440856,21
ENSG00000306053.1,ENST00000814973.1,+,45450335,45450600,21
ENSG00000306153.1,ENST00000815693.1,-,8858847,8859114,21
ENSG00000306153.1,ENST00000815693.1,-,8858160,8858361,21
ENSG00000306153.1,ENST00000815693.1,-,8855065,8855130,21
ENSG00000306153.1,ENST00000815693.1,-,8839454,8839708,21
ENSG00000306307.1,ENST00000816895.1,-,44843652,44843827,21
ENSG00000306307.1,ENST00000816895.1,-,44842846,44843019,21
ENSG00000306307.1,ENST00000816895.1,-,44840636,44841478,21
ENSG00000307048.1,ENST00000823085.1,-,45535501,45535777,21
ENSG00000307065.1,ENST00000823210.1,-,45532741,45532848,21
ENSG00000307116.1,ENST00000823968.1,+,10332056,10332178,21
ENSG00000307116.1,ENST00000823968.1,+,10333375,10333459,21
ENSG00000307202.1,ENST00000824518.1,+,22598611,22599086,21
ENSG00000307202.1,ENST00000824518.1,+,22599602,22599717,21
ENSG00000307202.1,ENST00000824518.1,+,22600923,22601509,21
ENSG00000307337.1,ENST00000825163.1,+,35719350,35719544,21
ENSG00000307359.1,ENST00000825385.1,+,28418956,28419115,21
ENSG00000307359.1,ENST00000825385.1,+,28421957,28422462,21
ENSG00000307389.1,ENST00000825605.1,+,28392575,28392747,21
ENSG00000307389.1,ENST00000825605.1,+,28393111,28393335,21
ENSG00000307424.1,ENST00000826214.1,+,7130334,7130404,21
ENSG00000307424.1,ENST00000826214.1,+,7130683,7131029,21
ENSG00000307579.1,ENST00000827203.1,-,14327222,14327403,21
ENSG00000307579.1,ENST00000827203.1,-,14317674,14317760,21
ENSG00000307579.1,ENST00000827203.1,-,14311321,14311405,21
ENSG00000307579.1,ENST00000827203.1,-,14308631,14309056,21
ENSG00000307611.1,ENST00000827413.1,-,41769190,41769359,21
ENSG00000307611.1,ENST00000827413.1,-,41768671,41768916,21
ENSG00000307781.1,ENST00000828762.1,+,15433313,15433367,21
ENSG00000307781.1,ENST00000828762.1,+,15441601,15441697,21
ENSG00000307781.1,ENST00000828762.1,+,15444226,15444609,21
ENSG00000307781.1,ENST00000828762.1,+,15446746,15446882,21
ENSG00000307821.1,ENST00000829137.1,-,41932120,41932239,21
ENSG00000307821.1,ENST00000829137.1,-,41928004,41928440,21
ENSG00000308154.1,ENST00000832017.1,+,32132165,32132300,21
ENSG00000308154.1,ENST00000832017.1,+,32135742,32136169,21
ENSG00000308206.1,ENST00000832484.1,-,36696700,36696809,21
ENSG00000308206.1,ENST00000832484.1,-,36695322,36696003,21
ENSG00000308244.1,ENST00000832762.1,+,7646562,7646707,21
ENSG00000308244.1,ENST00000832762.1,+,7657922,7658225,21
ENSG00000308272.1,ENST00000832926.1,-,31338048,31338890,21
ENSG00000308272.1,ENST00000832926.1,-,31336497,31337313,21
ENSG00000308275.1,ENST00000832948.1,+,19014245,19014350,21
ENSG00000308275.1,ENST00000832948.1,+,19023433,19023606,21
ENSG00000308668.1,ENST00000835602.1,+,46053218,46053504,21
ENSG00000308668.1,ENST00000835602.1,+,46054103,46054471,21
ENSG00000226115.2,ENST00000435738.2,+,46056470,46056592,21
ENSG00000226115.2,ENST00000435738.2,+,46057290,46057576,21
ENSG00000308817.1,ENST00000836640.1,-,6571016,6571226,21
ENSG00000308817.1,ENST00000836640.1,-,6569561,6569810,21
ENSG00000308873.1,ENST00000836969.1,-,39984372,39984754,21
ENSG00000308873.1,ENST00000836969.1,-,39979685,39980337,21
ENSG00000309000.1,ENST00000837716.1,-,26909887,26910148,21
ENSG00000309000.1,ENST00000837716.1,-,26889803,26889846,21
ENSG00000309000.1,ENST00000837716.1,-,26884310,26884359,21
ENSG00000309000.1,ENST00000837716.1,-,26872360,26872493,21
ENSG00000309000.1,ENST00000837716.1,-,26869391,26869539,21
ENSG00000309128.1,ENST00000838838.1,+,37687336,37687505,21
ENSG00000309128.1,ENST00000838838.1,+,37695488,37695582,21
ENSG00000309128.1,ENST00000838838.1,+,37698220,37698530,21
ENSG00000309159.1,ENST00000839176.1,-,20877468,20877566,21
ENSG00000309159.1,ENST00000839176.1,-,20875873,20876000,21
ENSG00000309159.1,ENST00000839176.1,-,20872067,20872148,21
ENSG00000309159.1,ENST00000839176.1,-,20869260,20869422,21
ENSG00000309180.1,ENST00000839339.1,+,15352078,15352216,21
ENSG00000309180.1,ENST00000839339.1,+,15353455,15353526,21
ENSG00000309180.1,ENST00000839339.1,+,15353865,15354216,21
ENSG00000309268.1,ENST00000839928.1,-,37489961,37490026,21
ENSG00000309268.1,ENST00000839928.1,-,37489552,37489624,21
ENSG00000309268.1,ENST00000839928.1,-,37478892,37479116,21
ENSG00000309377.1,ENST00000840639.1,-,35404342,35404409,21
ENSG00000309377.1,ENST00000840639.1,-,35349750,35350130,21
ENSG00000309574.1,ENST00000842153.1,-,43727561,43727693,21
ENSG00000309574.1,ENST00000842153.1,-,43725345,43726215,21
ENSG00000309814.1,ENST00000844106.1,+,25383747,25384008,21
ENSG00000309814.1,ENST00000844106.1,+,25384344,25384593,21
ENSG00000309886.1,ENST00000845014.1,-,13029336,13029493,21
ENSG00000309886.1,ENST00000845014.1,-,13026200,13026636,21
ENSG00000309985.1,ENST00000846378.1,-,8249222,8249271,21
ENSG00000309985.1,ENST00000846378.1,-,8248435,8248773,21
ENSG00000310147.1,ENST00000847659.1,+,43776585,43776621,21
ENSG00000310147.1,ENST00000847659.1,+,43779363,43779805,21
ENSG00000310284.1,ENST00000848807.1,+,33380796,33381153,21
ENSG00000310309.1,ENST00000848991.1,+,40562852,40563050,21
ENSG00000310309.1,ENST00000848991.1,+,40564640,40564785,21
ENSG00000289939.2,ENST00000701889.2,+,33402572,33403047,21
ENSG00000310452.1,ENST00000849867.1,+,6133736,6133810,21
ENSG00000310452.1,ENST00000849867.1,+,6136636,6136940,21
ENSG00000304334.1,ENST00000802575.1,-,42174211,42174297,21
ENSG00000304334.1,ENST00000802575.1,-,42137417,42137544,21
ENSG00000304334.1,ENST00000802575.1,-,42136269,42136647,21
ENSG00000310393.1,ENST00000849531.1,-,42193293,42193434,21
ENSG00000310393.1,ENST00000849531.1,-,42192831,42193111,21
ENSG00000303462.1,ENST00000794725.1,-,46597948,46598117,21
ENSG00000303462.1,ENST00000794725.1,-,46596135,46596832,21
ENSG00000230982.1,ENST00000419906.1,-,46653558,46654022,21
ENSG00000307473.1,ENST00000826479.1,-,43288055,43288280,21
ENSG00000307473.1,ENST00000826479.1,-,43287553,43287641,21
ENSG00000307473.1,ENST00000826479.1,-,43282871,43283075,21
ENSG00000296246.1,ENST00000737603.1,+,43303194,43303535,21
ENSG00000296246.1,ENST00000737603.1,+,43304029,43304709,21
ENSG00000295592.1,ENST00000731084.1,-,43333288,43333421,21
ENSG00000295592.1,ENST00000731084.1,-,43332227,43332467,21
ENSG00000310337.1,ENST00000849138.1,-,43344039,43344347,21
